name,id,num,teacher,time,space,lastspace,grade,xingzhi,shuxing,limit,cancelable,ismark
高级经济学专题,12003315,0,荣朝和,"第1周-第8周 ,星期2 第6节,学院安排;第9周-第16周 ,星期6 第6节,学院安排;",40,30,2,学位课,基础课,,可选可退,X
中级计量经济学,22003360,0,杨旭,"第1周-第16周 ,星期3 第6节,逸夫楼YF312;第1周第3周第5周第7周第9周第11周第13周第15周,星期5 第2节,逸夫楼YF415;",100,0,3,学位课,基础课,硕士课,可选可退,O
中级宏观经济学,22003428,0,彭兆祺,"第1周-第12周 ,星期2 第4节,思源SY401;第1周-第12周 ,星期4 第4节,逸夫楼YF313;",100,0,3,学位课,基础课,硕士课,可选可退,O
中级微观经济学,22003429,2,胡雅梅,"第1周-第12周 ,星期1 第2节,思源SY401;第1周-第12周 ,星期4 第2节,思源SY105;",60,0,3,学位课,基础课,硕士课,可选可退,O
随机过程I,21008300,4,王军,"第1周-第16周 ,星期5 第5节,逸夫楼YF404;",175,0,2,学位课,基础课,,可选可退,O
最优化方法I,21008305,4,王周宏,"第1周-第16周 ,星期3 第5节,思西SX303;",160,0,2,学位课,基础课,,可选可退,O
中国马克思主义与当代,11009010,3,刘秀萍,"第1周-第12周 ,星期3 第6节,东校区DQ2105;第1周-第12周 ,星期3 第7节,东校区DQ2105;",170,130,2,学位课,公共课,按系统分班选课,可选可退,X
马克思主义与社会科学方法论,21009306,1,孙夕龙,"第1周-第6周 ,星期1 第67节,思源SY109;",140,0,1,学位课,公共课,按系统分班选课,可选可退,O
英语听说强化训练,11012002,1,"外教,周红红","第2周-第17周 ,星期2 第1节,思源SY105;",45,0,1,学位课,公共课,按系统分班选课,可选可退,O
综合英语,21012001,32,"张宏,周红红","第1周-第16周 ,星期3 第1节,思源SY305;",45,0,1,学位课,公共课,按系统分班选课,可选可退,O
应用经济学研究方法论,24003378,0,卜伟,"第1周-第16周 ,星期1 第1节,思源SY101;",80,57,2,选修课,选修课,硕士课,可选可退,X
产权经济学,24003496,0,谭克虎,"第1周-第16周 ,星期3 第4节,逸夫楼YF106;",70,62,2,选修课,选修课,硕士课,可选可退,X
社会保障理论与实践,14003309,0,石美遐,"第1周-第8周 ,星期4 第2节,思源SY407;",45,43,1,选修课,选修课,博士课,可选可退,X
金融理论与政策,22003468,0,叶蜀君,"第1周-第11周 ,星期5 第67节,逸夫楼YF308;",80,0,2,选修课,选修课,硕士课,可选可退,O
中级运输经济学,22003334,0,欧国立,"第1周-第11周 ,星期1 第67节,思西SX502;",80,66,2,学位课,专业课,硕士课,可选可退,X
微观金融理论,12003346,0,柯金川,"第1周-第8周 ,星期6 第45节,学院安排;",30,23,2,学位课,专业课,,可选可退,X
产业经济学英文文献阅读,22003494,0,李红昌,"第1周-第16周 ,星期4 第67节,思西SX406;",60,0,3,学位课,专业课,硕士课,可选可退,O
